description,input_description,output_description,problem_class,problem_score
"One of the ways to score in Seven Wonders is through the use
    of Science. During the game, the players may collect a
    number of Science tokens of three different types:
    Cog, Tablet, and Compass. If a
    player has $a$ Cogs,
    $b$ Tablets and
    $c$ Compasses, that player
    gets $a^2 + b^2 + c^2 + 7 \cdot
    \min (a, b, c)$ points.
However, the scoring is complicated by the concept of
    Wildcard Science tokens. For each Wildcard Science
    token a player has, she may count that as one of the three
    ordinary types of Science tokens. For instance, the first
    player in Sample Input 1 has $2$ Cogs, $1$ Tablet, $2$ Compasses, and $1$ Wildcard Science, so could thus
    choose to have the distributions $(3, 1, 2), (2, 2, 2)$ or $(2, 1, 3)$ of Cogs, Tablets and
    Compasses, respectively. The possible scores for this player
    are then $3^2 + 1^2 + 2^2 + 7
    \cdot 1 = 21$, $2^2 + 2^2
    + 2^2 + 7 \cdot 2 = 26$ and $2^2 + 1^2 + 3^2 + 7 \cdot 1 = 21$
    depending on how the Wildcard Science is assigned. Thus, the
    maximum score for this player is $26$.
Given the number of tokens each player in the game has,
    compute the maximum possible score that each of them can
    achieve if they assign their Wildcard Science tokens
    optimally.
",The input consists of:,"For each player, in the same order they are given in the
    input, output the maximum score the player may get.",hard,5.7
"The lunch break just started! Your mother gave you one litre
    of pink lemonade. You do not like pink lemonade and want blue
    lemonade instead. Fortunately for you the other children in
    class are willing to trade with you.
Each of them is willing to offer you any quantity of the
    virtually infinite amount of lemonade they got from their
    mother, in exchange for their favourite lemonade, according to
    some exchange rate. The other children are sitting in
    a long row in the class room and you will walk along the row,
    passing each child only once. You are not allowed to walk back!
    Of course, you want to maximise the amount of blue lemonade you
    end up with. In case you can obtain more than $10$ litres of blue lemonade, this is
    more than you will need, and you will throw away any excess
    (and keep the $10$
    litres).
Fortunately, you know in advance what everybody is offering
    for trade. Your task is to write a program to find the maximum
    amount of blue lemonade that you can obtain.
",The input consists of the following:,"Output a single line containing a single floating point
    number $M$, the maximum
    amount (in litres) of blue lemonade that you can obtain. In
    case you could obtain more than $10$ litres, $M$ is considered to be $10$. You are required to output
    $M$ with absolute
    precision $10^{-6}$.",hard,5.7
"In the TV game show Gladiators, the final competition is to
    run through a steeplechase course. To get some variation, the
    producer has decided to change the course each week. The course
    is always built out of m obstacles, all of different heights,
    placed along a straight line. An obstacle consists of two
    initially connected platforms which may be separated. Between
    the two platforms of an obstacle, other higher obstacles may be
    put. Also, obstacles may be put after one another. No platform
    should cover another platform, as seen from above.

The producer thinks it is most desirable that the results
    from different weeks may be compared to each other. Therefore,
    he wants to build courses of similar degree of difficulty. A
    proposed measure of difficulty is the number of platforms that
    are higher than their immediately preceeding platform along the
    course. Moreover, the leftmost (first) platform of the course
    always give rise to one point since it is located above the
    floor. E.g. the course to the right in Figure 1 has four
    points of difficulty.
Your mission is to find out how many ways there are to build
    a course of a given point of difficulty, from a given number of
    obstacles. Two ways are considered distinct if the order of
    platforms changes from one to the other.
","On the first line of input is a single positive integer
    $n \le 40$, telling the
    number of test scenarios to follow. Each test scenario consists
    of one line containing two integers $m$ and $k$, where $1 \le m \le 100$ is the number of
    obstacles, and $0 \le k \le
    100$ is the point of difficulty asked for.","For each test scenario, output one line containing a single
    positive integer equal to the number of different courses
    constructable from the $m$
    obstacles, amounting to a point of difficulty of exactly
    $k$.",hard,5.7
"Particle colliders are difficult to build and experiments
    are costly to run. Before running any real experiments it is
    better to do a simulation to test out the ideas first. You are
    required to write a very simple simulator for this problem.
There are only three particles in this system, and all
    particles are confined to an infinite plane so that they can be
    modelled as circles. Their locations are specified only by the
    $x_ i$ and $y_ i$ coordinates of their centers
    ($1 \leq i \leq 3$). All
    three particles have the same radius $r$, and are initially stationary.
We are given a vector $(x_ v,
    y_ v)$ specifying the direction particle $1$ will move when the experiment
    starts. When particle $i$
    hits particle $j$,
    particle $j$ will start
    moving in the direction perpendicular to the tangent at the
    point of the contact, away from particle $i$. Particle $i$ will cease to exist and be
    converted to radiation. A moving particle that does not hit
    another will continue moving indefinitely.
There are a number of possible scenarios your simulator
    should identify:
particle $1$ hits
        particle $2$, which in
        turns hits particle $3$;
particle $1$ hits
        particle $3$, which in
        turns hits particle $2$;
particle $1$ hits
        particle $2$, which
        moves indefinitely;
particle $1$ hits
        particle $3$, which
        moves indefinitely;
particle $1$ moves
        indefinitely.
","The input contains four lines. The first three lines each
    contains two integers $x_
    i$ and $y_ i$
    ($|x_ i|,|y_ i| \leq
    1000$), describing particles $1$, $2$, and $3$ in this order. The fourth line
    contains three integers $x_
    v$, $y_ v$, and
    $r$ ($|x_ v|, |y_ v| \leq 1000$,
    $0 < r \leq 50$).","Output a single integer giving the number ($1$–$5$) identifying the scenarios
    described above.",hard,5.7
"At periodic intervals, the controlling software will choose
    two stations at random and illuminate all of the segments
    connecting those two stations. By design, for any two stations
    on the Greater Podunk Railway, there is a unique path
    connecting the two.
For maximum color and cheer, the display designers want to
    avoid having two adjacent segments of track lighting up in the
    same color. They fear, however, that they may have lost track
    of this guideline in the process of building the display. One
    of them has gone so far as to propose a means of measuring just
    how far from that ideal they may have fallen.
","The first line of input contains a single integer
    $n$ ($1 \le n \le 50\, 000$).","On the first line of the output, print $k$, the number of good nodes.",hard,5.7
"Mr. G is one of the most excellent
    students in North River High School for
    Gifted Students. Despite having impressive performance in a
    programming competition and making it to the next round, he was
    not totally happy since his best friend did not get such a
    great achievement. In order to appease the poor girl, Mr. G has to deal with a very hard challenge: Buy
    her some ginger candies!
The road system in North River
    province consists of $N$ junctions and $M$ bidirectional roads. Junctions are
    numbered from $1$ to
    $N$, and roads are
    numbered from $1$ to
    $M$, inclusive. On the
    $i^{th}$ road, which
    connects two junctions $u_
    i$ and $v_ i$,
    there is a shop in which Mr. G can buy
    $c_ i$ ginger candies. No
    two roads have the same number of candies. Mr. G wants to meet his friend at some junction,
    travel through several roads without
    visiting the same road twice, buy all candies on those roads, and finish at the
    same junction where he starts.
Using his humble knowledge in Physics, Mr. G calculates the amount of energy he needs to
    spend as follow: Let $L$
    be the maximum number of candies he
    buys in one road, and $K$
    be the number of roads he passes through. The amount of energy
    he needs to spend is $L^2+\alpha
    K$, where $\alpha $
    is some constant he has already known.
Help him to satisfy his friend with the minimum amount of
    energy.
","The first line contains three integers $N$, $M$, $\alpha $, the number of
        junctions, the number of roads and the predefined constant
        Mr. G uses to calculate the amount
        of energy, respectively ($1
        \leq N \leq 10^5$, $1
        \leq M \leq 2 \times 10^5$, $1 \leq \alpha \leq 20$).","Write one integer denoting the minimum amount of energy
    Mr. G has to spend. If there is no route
    satisfying the condition, output Poor
    girl instead.",hard,5.7
"Charles is traveling to the fantastic Fibonacci City. The
    city has $n$ mansions of
    various heights and $m$
    bi-directional roads connecting the mansions. One of the most
    exciting tourist attraction in the city is the Fibonacci Tour, which is a simple path visiting a
    sequence of distinct mansions, so that every pair of
    consecutively visited mansions are directly connected by a
    road, and the heights of the mansions in the path form a
    continuous subsequence of the Fibonacci
    sequence:
Each number in the Fibonacci sequence equals the sum of the
    previous two numbers, except for the first two numbers which
    are defined to be one.
Charles will be happier if his tour is longer. What is the
    maximum length of a Fibonacci Tour he can take? The length of a
    tour is the number of mansions visited in the tour. Charles can
    start the tour at any mansion.
","The first line has two integers $n$ ($1\leq n\leq 10^5$) and $m$ ($0\leq m\leq 10^5$), giving the number
    of mansions and the number of roads in the city. The next line
    has $n$ positive integers
    no larger than $10^{18}$.
    The $i$-th integer gives
    the height of mansion $i$.
    The next $m$ lines each
    has two integers $a$ and
    $b$ ($1\leq a, b \leq n$, $a \neq b$), indicating that there is
    a bi-directional road between mansion $a$ and mansion $b$. Each pair of mansions is directly
    connected by at most one road.","Output the length of the longest Fibonacci Tour Charles can
    take in the city. If there is no tour Charles can take, output
    zero.",hard,5.7
"Captain Keram has to make a difficult decision. It is year
    2147 and there is a big war in the world. His soldiers have
    been together since the war started, two years ago, and some of
    them have become enemies. Luckily, each soldier has at most 3
    enemies.
They need to attack another country soon, and Keram is
    worried that soldiers who are enemies might not cooperate well
    during the battle. He has decided to divide them into groups
    such that every soldier has at most one enemy in his group. He
    also wants to make it simple, so he wants to use as few groups
    as possible. Can you divide the soldiers into groups for
    him?
","Input On the first line there are two integers $n$ and $m$, $2\leq n\leq 100\, 000, 0 \leq m\leq
    3n/2$, where $n$ is
    the number of soldiers and $m$ is the number of enemy pairs. Then
    follow $m$ lines, each
    containing two space separated integers $a_ i, b_ i$, denoting that soldiers
    $a_ i$ and $b_ i$ are enemies, where $1\leq a_ i < b_ i\leq n$. You can
    assume that all soldiers have at most $3$ enemies.","The first line of output contains the minimal number of
    groups of soldiers $k$.
    Each of the next $k$ lines
    contains a space separated list of a soldiers in a unique
    group.",hard,5.7
"Prof. Peter decided to surprise his class by organizing a
    new lottery with a very peculiar system.
He starts by announcing a small positive
    number $M$.
    Afterwards, each student is going to secretly write an integer
    from the set $\{ 1, ..., M\}
    $ on a slip of paper that is then folded. After everyone
    has selected a number, they reveal all choices and whoever
    wrote down the lowest unique number is the winner! For
    instance, if there are only three students in the class, two of
    them select number $2$ and
    the other selects number $5$, then the student who chose number
    $5$ is the winner.
The lottery was a success, but Prof. Peter is now wondering
    what strategy his students should have used. If everyone
    follows the same optimal randomized strategy, with which
    probability should each number be chosen so that they maximize
    their chances of winning? A strategy is optimal if, when
    everyone is following it, then no individual student can
    improve his winning probability by selecting a different
    strategy. Can you help Prof. Peter?
","There is one line with two integers: $N$, which is the number of students
    in the class, and $M$,
    which is the largest integer each student can choose.","The output consists of $M$ lines. Line $k$ should have the probability of
    selecting number $k$.",hard,5.7
"Using credit cards for your purchases is convenient, but
    they have high interest rates if you do not pay your balance in
    full each month.
The interest rate is commonly quoted in terms of “annual
    percentage rate” (APR) which is then applied to the outstanding
    balance each month. The APR can be converted to a monthly
    interest rate $R$. At the
    end of each month, the monthly interest rate is applied to the
    outstanding balance and the interest is added to the total
    balance. Any payment made will be applied to the balance in the
    following month. The monthly interest is rounded to the nearest
    cent (rounding up $0.5$
    cent and above) in the calculations.
You have unfortunately accumulated an outstanding balance
    $B$ at the end of the
    month and you can only afford to pay up to some amount
    $M$ every month. If you do
    not make any more purchases with the credit card, what is the
    minimum number of payments needed to completely eliminate the
    outstanding balance? It is possible that you cannot pay off the
    balance in $100$ years
    ($1\, 200$ payments).
","The input consists of multiple test cases. The first line of
    input is a single integer, not more than $1\, 000$, indicating the number of
    test cases to follow. Each of the following lines specify the
    input for one case. Each line contains three positive real
    numbers separated by single spaces: $R$, $B$, and $M$. The real numbers have two digits
    after the decimal point, satisfying $R \leq 50.00$ and $B, M \leq 50\, 000.00$. $R$ is the monthly interest rate and
    is specified as a percentage.","For each case, display on a line the minimum number of
    payments needed to eliminate the outstanding balance. If this
    cannot be done in at most $1\,
    200$ payments, print instead impossible.",hard,5.7
"In online games, players form teams so they can cover each
    others’ weakness with different skills (e.g. healing,
    buffing, teleporting). There are $n$ types of skills in the game,
    labelled from $1$ to
    $n$. To form a team, every
    skill must be covered by at least one player in the team.
The skills each player has depend on the character class
    (e.g. warrior, thief, wizard) of the player. There are
    $m$ character classes in
    the game, and the $i$th
    class ($1 \leq i \leq m$)
    possesses skills $S_ i \subseteq
    \{ 1,2, \dots , n\} $. For every $i \neq j$, we have $S_ i \neq S_ j$. Moreover, for every
    $i \neq j$, exactly one of
    the following properties holds:
$S_ i \subset S_
        j$
$S_ j \subset S_
        i$
$S_ i$ and
        $S_ j$ are disjoint
        $(S_ i \cap S_ j = \emptyset
        )$
There are $p$ players,
    labelled form $1$ to
    $p$. Each player can
    belong to at most one team. Given the character class of each
    player, compute the maximum number of teams they can form and
    output the teaming.
","The first line contains three integers $n, m, p$ ($1 \leq n \leq 100\, 000$,
        $1 \leq m,p \leq 300\,
        000$).","Output an integer on the first line representing the
        maximum number of teams that can be formed.",hard,5.7
"One day you were visiting a museum where you saw a modern
    piece of art that shows a grid of $N$ rows and $M$ columns. Each cell in the grid has
    a color, which can be one of the four: red (‘R’), green (‘G’),
    blue (‘B’), and white (‘W’).
You think that the art is so simple so that even you can
    reproduce it yourself. After getting home, you get yourself a
    grid board with exactly $N$ rows and $M$ columns. The cells of the board
    are initially all white. You also find some red, green and blue
    paint (unfortunately you didn’t find any white paint), as well
    as a square stamp of a size equal to exactly $3 \times 3$ cells. With the tools at
    hand, in each step you can choose a square of $3\times 3$ cells from the board and
    pick a color, and then stamp the chosen square of cells with
    that color (overwriting their previous colors). Note that the
    chosen square is not allowed to exceed the board boundary,
    otherwise you would spill the paint and make your home
    messy.
You soon realize that the art seems to be simple but is not
    so easy to reproduce. Actually, you are not even sure about
    whether it is possible to reproduce the art with the
    aforementioned procedure. You eventually decide to make it a
    ProgNova question and ask some smart people for help.
","The first line contains two integers $N$ and $M$ ($3
    \leq N, M \leq 30$). Each of the next $N$ lines has a string of $M$ characters. All strings contain
    only letters ‘R’, ‘G’, ‘B’, and
    ‘W’, representing the colors of the
    cells in the art piece you want to reproduce.","Output “YES” if it is possible to
    reproduce the art piece, or “NO”
    otherwise.",hard,5.7
"Alice and Bob are playing Dots and Boxes. The game is played
    on an $N\times N$ square
    lattice of dots, and they alternate drawing a line segment
    between horizontally or vertically adjacent dots that haven’t
    been connected before. Every time a unit square is formed by
    four line segments, the player who put down the last segment
    scores one point for that square. The game ends when the square
    lattice has been completely filled with line segments, and
    whoever scored the most points wins.
Alice and Bob aren’t really in a competitive mood today, so
    they’ve just been playing for fun. Hence they aren’t following
    any specific game strategy, and, in particular, even if it’s
    possible to make a move that scores a point or is clearly
    superior in some way, they won’t necessarily make that move.
    But now they’ve been playing for a while and neither of them
    has scored a single point. If neither of them scores a point
    pretty soon, they may get bored. Given the current state of the
    game, how many moves could be made, in the worst case, before
    either Alice or Bob is guaranteed to have scored a point?
","Input starts with a line containing an integer $N$ ($2
    \leq N \leq 80$), the size of the square lattice. Then
    follows an ASCII representation of the current state of the
    game, $2N-1$ rows high and
    $2N-1$ columns wide,
    listed in row-major order. There are cells of four types
    ($1 \leq i,j \leq N$):","Output the number of moves that can be made, in the worst
    case, before either Alice or Bob is guaranteed to have scored a
    point.",hard,5.7
"Peter has lined up hay bales. Some hay bales contain
    parasites and he wants to move the infected hay bales to the
    back of the sequence, to minimize the chance that the parasites
    spread. To sort the haybales, he repeatedly takes out any three
    consecutive hay bales and puts them back in sorted order. Your
    task is to calculate the minimum number of operations Peter has
    to execute to sort the sequence.
","The input contains a single string $s$ ($3
    \leq |s| \leq 500$), the sequence of hay bales. Each
    character of $s$ is either
    ‘C’ (for a clean hay bale) or
    ‘P’ (for an infected one).","The output must contain one integer, the minimum number of
    steps Peter has to execute.",hard,5.7
"A large part of the world economy depends on oil, which is
    why research into new methods for finding and extracting oil is
    still active. Profits of oil companies depend in part on how
    efficiently they can drill for oil. The International Crude
    Petroleum Consortium (ICPC) hopes that extensive computer
    simulations will make it easier to determine how to drill oil
    wells in the best possible way.
Drilling oil wells optimally is getting harder each day –
    the newly discovered oil deposits often do not form a single
    body, but are split into many parts. The ICPC is currently
    concerned with stratified deposits, as illustrated in
    Figure 1.
To simplify its analysis, the ICPC considers only the
    2-dimensional case, where oil deposits are modeled as
    horizontal line segments parallel to the earth’s surface. The
    ICPC wants to know how to place a single oil well to extract
    the maximum amount of oil. The oil well is drilled from the
    surface along a straight line and can extract oil from all
    deposits that it intersects on its way down, even if the
    intersection is at an endpoint of a deposit. One such well is
    shown as a dashed line in Figure 1, hitting three
    deposits. In this simple model the amount of oil contained in a
    deposit is equal to the width of the deposit. Can you help the
    ICPC determine the maximum amount of oil that can be extracted
    by a single well?
","The first line of input contains a single integer
    $n$ ($1 \leq n \leq 2\, 000$), which is the
    number of oil deposits. This is followed by $n$ lines, each describing a single
    deposit. These lines contain three integers $x_0$, $x_1$, and $y$ giving the deposit’s position as
    the line segment with endpoints $(x_0,y)$ and $(x_1,y)$. These numbers satisfy
    $|x_0|, |x_1| \leq 10^6$
    and $1 \le y \le 10^6$. No
    two deposits will intersect, not even at a point.","Display the maximum amount of oil that can be extracted by a
    single oil well.",hard,5.7
"Two chess knights have decided to collaborate on writing
    short, one-line poems. They have obtained the use of a laptop
    to type their poetry. The laptop keyboard is composed of 4 rows
    of 10 keys. 30 of these are symbol keys, 4 are Shift keys, and 6 are Space keys.
Note that the Shift and Space keys, which are usually extra-wide keys on
    a keyboard, are treated here as multiple individual keys that
    each have the same effect.
The knights will type the poem by making moves, one at a
    time, that are valid for a chess knight. A chess knight can
    move two positions vertically and then one horizontally, or one
    position vertically and then two horizontally. For example,
    from the D key, a knight can move to
    any of these keys: Q, Z, T, B, the second Shift key
    from the left, and the second Space key
    from the left.
One knight always begins each poem on the left-most
    Shift key. The other knight always
    begins on the right-most Shift key.
    Either knight may move first, and either may make multiple
    consecutive moves. The knights cannot occupy the same key.
Each move of a knight will type at most one character,
    adding to the poem. Landing on a symbol key or Space key will type one character. A knight
    landing on a symbol key types the upper value of that key when
    the other knight is on a Shift key;
    otherwise, the lower value is typed. Landing on a Space key always types a single space character,
    regardless of whether the other knight is on a Shift key. Landing on a Shift key does not add anything to the poem.
","There will be up to 10 test cases in the input. Each test
    case will consist of a string on a single line, representing a
    poem. Each poem will consist of 1 to 100 characters inclusive,
    using only characters from the symbol keys on the keyboard and
    spaces. No poem will begin or end with a space. The input will
    end with a line with a single asterisk (’*’).","For each poem, output 1 if the
    knights can type the poem, or 0 if
    they cannot.",hard,5.7
"In junior high, you were fascinated by secret codes. When
    you discovered the Playfair cipher, you shared the knowledge
    with a friend, and the two of you started using the cipher in
    order to pass notes in class without fearing that they would be
    read if intercepted. Because you enjoyed this so much at the
    time, you have continued to encode all of your correspondence
    in cipher. However, since you now attend different
    universities, your messages have become longer and more
    frequent. You would like to save time by writing a program to
    encode your messages.
","Input will consist of up to $50$ test cases. Each will begin with
    the number of lines to be encoded, $1 \le n \le 50$. This will be
    followed by a single line that contains the key phrase for the
    cipher. After this comes $n$ lines of text to encrypt. All
    input besides $n$ will
    consist only of alphabetic characters (a–z, A–Z) or spaces with
    length in the range $[1,50]$. Input ends when $n = 0$.","For each test case, output the encoded lines of text. All
    letters should be in upper case. Output a blank line between
    adjacent cases.",hard,5.7
"Rar the Cat$^($™$^)$ is the founder of ACM (Association of Cats and Magical Lights).
    This is the story of the founding of ACM.
It is the second half of the year again and Rar the
    Cat$^($™$^)$ is looking forward to Christmas.
    When people think of Christmas, Christmas trees will surely
    come into the picture. This year, Rar the Cat$^($™$^)$ decides to decorate a Christmas
    tree with $N$ LED lights
    with up to 100 different colours. Each LED light can only have
    a single colour as Rar the Cat$^($™$^)$ is too poor to afford more
    sophisticated models of LED lights.
Being a programmer himself, Rar the Cat$^($™$^)$ LED lights are arranged in a tree
    formation on the Christmas tree. That being said, each LED
    light can be represented as a node and the wires between
    $2$ LED lights can be
    represented as an edge. The whole formation consists of
    $N$ nodes fully connected
    by $N-1$ edges. The nodes
    are labelled from $1$ to
    $N$ and each node can hold
    colour denoted as $1$ to
    $100$. It is noted that
    each LED is connected to every other LED directly or indirectly
    by wires and the tree formed is rooted at node $1$.
Hubert the Cow finds that Rar the Cat$^($™$^)$ Christmas tree is too boring
    because it lacks some magical colours. A magical colour in a
    subtree is defined as a colour whereby there is an odd number
    of LEDs with that particular colour within the subtree
    only.
In order to improve on his Christmas tree decorations, Rar
    the Cat$^($™$^)$ intends to modify the colours of
    the LED lights on the tree. However, he does not know how to
    count how many magical colours there are.
Your task, is now to answer how many magical colours there
    are in a subtree requested by Rar the Cat$^($™$^)$. This will be done in between Rar
    the Cat$^($™$^)$ modifications. There will be
    $Q$ queries and
    modifications in total.
Soon after this, Rar the Cat$^($™$^)$ Christmas tree with these magical
    lights become so popular and Rar the Cat$^($™$^)$ founded ACM to further spread the adoption of such
    trees worldwide.
","The first line will consists of $2$ integers, $N$ and $Q$. $N$ will be positive and not more than
    $300\, 000$ while
    $Q$ will be positive and
    not more than $1\, 000\,
    000$.","For each query when $K =
    0$, output in one line: the number of magical colours in
    the subtree of $X$
    (inclusive).",hard,5.7
"Let us denote $A_{i,j}$
    as the element from matrix $A$ located in the $i$-th row and $j$-th column. We say that the matrix
    $A$ is cool if
    this holds:
$r, s > 1$
$A_{1,1} + A_{r,s} \leq
        A_{1,s} + A_{r,1}$
where $r$ denotes the
    number of rows, and $s$
    the number of columns of matrix $A$.
Additionally, we say that a matrix is extremely
    cool if each of its submatrices with at least two rows and
    two columns is cool.
Your task is to determine the largest number of elements
    that are contained in an extremely cool submatrix of the given
    matrix.
","The first line of input contains two integers $R$, $S$ ($2
    \leq R, S \leq 1\, 000$) which represent the dimensions
    of the matrix.","The first and only line of output must contain the maximal
    number of elements that are contained in an extremely cool
    submatrix of the matrix from the input. If an extremely cool
    submatrix doesn’t exist, output $0$.",hard,5.7
"The Shibuya scramble crossing in Tokyo is infamous for being
    heavily used, resulting in people bumping into each other. The
    crossing can be modeled as a convex polygon, where the
    $n$ people about to cross
    initially stand at a point that is on the perimeter of the
    polygon and in its lower half. When the traffic lights change,
    each person starts to walk towards a unique point on the
    perimeter in the upper half of the polygon. The path each
    person takes may look like spaghetti (it may even cross
    itself), but it will never leave the polygon and no two paths
    will cross more than once.
Oskar who is a badass geek observes the crossing from the
    Starbucks nearby. He has numbered the people in the crossing
    consecutively $1$ through
    $n$ in counter-clockwise
    order (starting with the person at the very left). Sadly he
    doesn’t know the intended paths of the people at the crossing,
    but he has gathered some intelligence telling him exactly which
    persons’ paths will cross one another (and this information is
    consistent with the physical reality).
Being a nerd he obviously knows about Murphy’s Law saying
    “Anything that can go wrong, will go wrong!”. So all people who
    could possibly bump into each other, i.e., all people whose
    paths cross, will actually bump into each other! He now asks
    himself, “After all the $n$ people have crossed, what is the
    size of the largest group of people where everyone has bumped
    into each other?”. Now that is a geeky and tough question, can
    you help him?
","The first line contains an integer $1 \leq n \leq 800$, the number of
    people at the crossing, and an integer $0 \leq m \leq 10\, 000$, the number
    of paths that will cross, i.e., intersect one another. The next
    $m$ lines each contain two
    integers $a$ and
    $b$, $1 \leq a < b \leq n$, meaning that
    the path taken by person $a$ will cross the path taken by
    person $b$. (No pair will
    occur twice in the input.)","Output a single integer giving the size of the largest group
    of people where everyone has bumped into one another.",hard,5.7
"The people of Absurdistan discovered how to build roads only
    last year. After the discovery, each city decided to build its
    own road, connecting the city to some other city. Each newly
    built road can be used in both directions.
You bought a tourist guide which has a map of the country
    with the newly built roads. However, since you are very
    interested in history, you would like to know which city built
    which road.
Given the description of $n$ roads, can you find an assignment
    of roads to $n$ cities,
    such that each city built one road? If there are multiple
    assignments, you are happy with any one. At least one solution
    is guaranteed to exist.
","The first line contains an integer $n$ $(2\le n\le 100\, 000)$ – the number
    of cities and roads. Then follow $n$ lines with $2$ numbers each. A line containing
    “$a$ $b$” indicates that there is a road
    between cities $a$ and
    $b$, $1 \le a, b\le n, a \not= b$. There
    can be multiple roads between the same pair of cities.","Print $n$ lines with
    two integers “$a$
$b$” denoting that a road
    between $a$ and
    $b$ was built by city
    $a$. Each road from the
    input must appear exactly once in the output. If there are
    multiple solutions, you can print any one and you can print the
    roads in any order.",hard,5.7
"In a certain flooded village, a secret superhuman
    humanitarian camp is being opened as we speak. The village
    consists of $N$ houses
    marked with integers from $1$ to $N$. The houses are connected to each
    other with $N-1$ roads so
    that there is a unique way between each two houses.
    For each road, we know the time it takes for a truck to pass
    it. The camp should be put up in some house’s garden, but the
    camp manager still hasn’t decided which house it is going to
    be.
Mirko has been appointed as the driver. His job is to drive
    around teams of volunteers in his super truck from the camp to
    the house where that certain team is going to work. His truck
    is super because all teams at once can drive in it! In total,
    there are $K$ teams and
    all the teams are going to a different house.
All $K$ teams board
    into Mirko’s truck initially, and then he drives them to houses
    in the sequence he determined for himself. After he drives
    around all teams, Mirko stays and helps the last team (he
    doesn’t go back to camp).
In order for the camp manager to determine where to put up
    the camp, he wants to know, for each house, the minimal
    time it takes for Mirko to drive around all teams if
    that house is the headquarters. Write a program that
    will determine the numbers Mirko’s boss wants to see!
","The first line of input contains the integers $N$ ($1
    \leq N \leq 500\, 000$), and $K$ ($1
    \leq K \leq N$).","Output $N$ lines. The
    $i$-th line of output must
    contain the minimal times it takes Mirko to drive around all
    the teams if the camp headquarters is located in the
    $i$-th house.",hard,5.7
"Logo is a programming language built around a turtle.
    Commands in the language cause the turtle to move. The turtle
    has a pen attached to it. As the turtle moves, it draw lines on
    the page. The turtle can be programmed to draw interesting
    pictures.
We are interested in making the turtle draw a picture, then
    return to the point that it started from. For example, we could
    give the turtle the following program:
fd 100 lt 120 fd 100 lt 120 fd
    100
The command fd causes the turtle
    to move forward by the specified number of units. The command
    lt causes the turtle to turn left by
    the specified number of degrees. Thus the above commands cause
    the turtle to draw an equilateral triangle with sides 100 units
    long. Notice that after executing the commands, the turtle ends
    up in the same place as it started. The turtle understands two
    additional commands. The command bk
    causes the turtle to move backward by the specified number of
    units. The command rt causes the
    turtle to turn right by the specified number of degrees. The
    distances and angles in all commands are always non-negative
    integers.
Unfortunately, we have been messy in writing the program
    down, and cannot read our own writing. One of the numbers in
    the program is missing. Assuming the turtle ends up at the
    place that it started at the end of its journey, can you find
    the missing number?
","The first line of input contains one integer specifying the
    number of test cases to follow, at most 20. Each test case
    starts with a line containing one integer, the number of
    commands to follow. The commands follow, one on each line. Each
    test case will contain no more than 1000 commands. The argument
    of each command is either an integer or a question mark (?).
    There will be exactly one question mark in each test case.","For each test case, output line containing a single integer
    $n$ such that when the
    question mark in the program is replaced by $n$, the turtle ends up at the same
    point that it started from once the program completes. If the
    question mark is the argument of an lt or rt command, the
    angle in the output must be between 0 and 359 degrees,
    inclusive. The correct answer will always be an integer, and we
    guarantee that for every test case, there will be only one
    correct answer.",hard,5.7
"Evil bunnies are eating Freddy’s vegetables. In order to
    stop them, he decided to build a fence enclosing all
    vegetables in his garden. Freddy wants the fence to be as cheap
    (i.e., short) as possible, but for technical reasons, he can
    only build rectangular fences. For simplicity, we will assume
    the vegetables are negligibly small and can be represented by
    points in a two-dimensional plane.
","The input consists of several test cases, at most 50.","For each test case, output a single line containing one
    real number $t$, giving
    the smallest length of the perimeter of a rectangular
    fence enclosing all the vegetables. Note that the edges of the
    rectangle do not need to be parallel with the coordinate
    axes.",hard,5.7
"Organising a group trip for the elderly can be a daunting
    task... Not least because of the fussy participants, each of
    whom will only make the trip on condition that some other
    participant also comes.
After some effort, you have taken from each of your
    participants a number, indicating that this participant will
    refuse to join the excursion unless the participant with that
    number also joins– the less choosy simply give their own
    number. This would be easy enough to resolve (just send all of
    them) but the bus you are going to use during the trip has only
    a fixed number of places.
","The first line of input contains two integers $n$ and $k$ ($1
    \leq k \leq n \leq 1\, 000$), where $n$ denotes the total number of
    participants and $k$
    denotes the number of places on the bus.","Output one integer: the maximum number of participants that
    can join the excursion, so that all the participants’
    preferences are obeyed and the capacity of the bus is not
    exceeded.",hard,5.7
